Task_ID,clean,subject,object,correct_idx,corrupted,corrupted_object,incorrect_idx
58,Bart Starr plays professionally in the sport of,Bart Starr, football,4346,Nick Swisher plays professionally in the sport of, baseball,9283
61,O. J. Simpson plays professionally in the sport of,O. J. Simpson, football,4346,Júlio Baptista plays professionally in the sport of, soccer,11783
63,Michael Jordan plays professionally in the sport of,Michael Jordan, basketball,9669,Nani plays professionally in the sport of, soccer,11783
64,Leon Allen White plays professionally in the sport of,Leon Allen White, football,4346,Yao Ming plays professionally in the sport of, basketball,9669
70,Bernie Casey plays professionally in the sport of,Bernie Casey, football,4346,Larry Bird plays professionally in the sport of, basketball,9669
72,Drew Brees plays professionally in the sport of,Drew Brees, football,4346,Robbie Keane plays professionally in the sport of, soccer,11783
81,Russell Wilson plays professionally in the sport of,Russell Wilson, football,4346,Rick Barry plays professionally in the sport of, basketball,9669
82,Eric Lindros plays professionally in the sport of,Eric Lindros, hockey,12217,Bud Grant plays professionally in the sport of, football,4346
85,Terry Bradshaw plays professionally in the sport of,Terry Bradshaw, football,4346,Frank Lampard plays professionally in the sport of, soccer,11783
86,Pavel Datsyuk plays professionally in the sport of,Pavel Datsyuk, hockey,12217,Gonzalo Higuaín plays professionally in the sport of, soccer,11783
88,Timothy Brown plays professionally in the sport of,Timothy Brown, football,4346,Jim Bunning plays professionally in the sport of, baseball,9283
90,Shaquille O'Neal plays professionally in the sport of,Shaquille O'Neal, basketball,9669,Hugo Sánchez plays professionally in the sport of, soccer,11783
98,Teemu Sälännä plays professionally in the sport of,Teemu Sälännä, hockey,12217,Florent Sinama Pongolle plays professionally in the sport of, soccer,11783
101,Ernie Davis plays professionally in the sport of,Ernie Davis, football,4346,Eric Lindros plays professionally in the sport of, hockey,12217
106,LeBron James plays professionally in the sport of,LeBron James, basketball,9669,Brett Hull plays professionally in the sport of, hockey,12217
109,Alexander Ovechkin plays professionally in the sport of,Alexander Ovechkin, hockey,12217,Jürgen Locadia plays professionally in the sport of, soccer,11783
115,Pat Tillman plays professionally in the sport of,Pat Tillman, football,4346,Ashley Cole plays professionally in the sport of, soccer,11783
119,Fred Williamson plays professionally in the sport of,Fred Williamson, football,4346,Steven Gerrard plays professionally in the sport of, soccer,11783
121,Karl Malone plays professionally in the sport of,Karl Malone, basketball,9669,Russell Wilson plays professionally in the sport of, football,4346
126,Kevin Durant plays professionally in the sport of,Kevin Durant, basketball,9669,Patrick Roy plays professionally in the sport of, hockey,12217
129,Tom Brady plays professionally in the sport of,Tom Brady, football,4346,David Robinson plays professionally in the sport of, basketball,9669
131,Alexei Kovalev plays professionally in the sport of,Alexei Kovalev, hockey,12217,Jozy Altidore plays professionally in the sport of, soccer,11783
134,Dick Butkus plays professionally in the sport of,Dick Butkus, football,4346,Tom Seaver plays professionally in the sport of, baseball,9283
141,Tommie Smith plays professionally in the sport of,Tommie Smith, football,4346,Julius Erving plays professionally in the sport of, basketball,9669
144,Derek Jeter plays professionally in the sport of,Derek Jeter, baseball,9283,Woody Strode plays professionally in the sport of, football,4346
148,Hakeem Olajuwon plays professionally in the sport of,Hakeem Olajuwon, basketball,9669,Mikaël Silvestre plays professionally in the sport of, soccer,11783
149,Allen Iverson plays professionally in the sport of,Allen Iverson, basketball,9669,Dave Winfield plays professionally in the sport of, baseball,9283
153,Tim Duncan plays professionally in the sport of,Tim Duncan, basketball,9669,Tom Brady plays professionally in the sport of, football,4346
155,Brett Favre plays professionally in the sport of,Brett Favre, football,4346,Shane Doan plays professionally in the sport of, hockey,12217
156,Michael Strahan plays professionally in the sport of,Michael Strahan, football,4346,Bob Cousy plays professionally in the sport of, basketball,9669
157,Sergei Makarov plays professionally in the sport of,Sergei Makarov, hockey,12217,Herculez Gomez plays professionally in the sport of, soccer,11783
159,Barry Bonds plays professionally in the sport of,Barry Bonds, baseball,9283,Timothy Brown plays professionally in the sport of, football,4346
162,Kevin Love plays professionally in the sport of,Kevin Love, basketball,9669,Billy Sunday plays professionally in the sport of, baseball,9283
163,Wilt Chamberlain plays professionally in the sport of,Wilt Chamberlain, basketball,9669,Arne Friedrich plays professionally in the sport of, soccer,11783
165,Steve Yzerman plays professionally in the sport of,Steve Yzerman, hockey,12217,Alexi Lalas plays professionally in the sport of, soccer,11783
166,Dean Cain plays professionally in the sport of,Dean Cain, football,4346,Alex Rodriguez plays professionally in the sport of, baseball,9283
167,Don Shula plays professionally in the sport of,Don Shula, football,4346,Robbie Keane plays professionally in the sport of, soccer,11783
169,Ara Parseghian plays professionally in the sport of,Ara Parseghian, football,4346,Júlio César plays professionally in the sport of, soccer,11783
174,Emmitt Smith plays professionally in the sport of,Emmitt Smith, football,4346,Gordie Howe plays professionally in the sport of, hockey,12217
175,Brian Bosworth plays professionally in the sport of,Brian Bosworth, football,4346,Robbie Keane plays professionally in the sport of, soccer,11783
177,Terry Sawchuk plays professionally in the sport of,Terry Sawchuk, hockey,12217,Allen Iverson plays professionally in the sport of, basketball,9669
181,Randy Moss plays professionally in the sport of,Randy Moss, football,4346,Jackie Robinson plays professionally in the sport of, baseball,9283
182,Johnny Unitas plays professionally in the sport of,Johnny Unitas, football,4346,Marc Gasol plays professionally in the sport of, basketball,9669
184,Jarome Iginla plays professionally in the sport of,Jarome Iginla, hockey,12217,Troy Aikman plays professionally in the sport of, football,4346
185,Cam Newton plays professionally in the sport of,Cam Newton, football,4346,Gary Payton plays professionally in the sport of, basketball,9669
188,Gary Payton plays professionally in the sport of,Gary Payton, basketball,9669,Bo Jackson plays professionally in the sport of, baseball,9283
190,Mark Messier plays professionally in the sport of,Mark Messier, hockey,12217,Marc Gasol plays professionally in the sport of, basketball,9669
191,Kevin Garnett plays professionally in the sport of,Kevin Garnett, basketball,9669,Drew Brees plays professionally in the sport of, football,4346
192,Tony Parker plays professionally in the sport of,Tony Parker, basketball,9669,Fred Williamson plays professionally in the sport of, football,4346
193,Moses Malone plays professionally in the sport of,Moses Malone, basketball,9669,Terrell Owens plays professionally in the sport of, football,4346
194,Alex Karras plays professionally in the sport of,Alex Karras, football,4346,Zack Steffen plays professionally in the sport of, soccer,11783
195,Jack Kemp plays professionally in the sport of,Jack Kemp, football,4346,David Andersen plays professionally in the sport of, basketball,9669
201,Lawrence Taylor plays professionally in the sport of,Lawrence Taylor, football,4346,Tom Seaver plays professionally in the sport of, baseball,9283
203,Ron W. Miller plays professionally in the sport of,Ron W. Miller, football,4346,Alexi Lalas plays professionally in the sport of, soccer,11783
209,Larry Bird plays professionally in the sport of,Larry Bird, basketball,9669,George Best plays professionally in the sport of, soccer,11783
210,Carl Weathers plays professionally in the sport of,Carl Weathers, football,4346,Eric Lindros plays professionally in the sport of, hockey,12217
215,John Elway plays professionally in the sport of,John Elway, football,4346,Wilt Chamberlain plays professionally in the sport of, basketball,9669
217,Terry Crews plays professionally in the sport of,Terry Crews, football,4346,Stan Mikita plays professionally in the sport of, hockey,12217
225,Evgeni Malkin plays professionally in the sport of,Evgeni Malkin, hockey,12217,Willie Stargell plays professionally in the sport of, baseball,9283
227,Ilya Kovalchuk plays professionally in the sport of,Ilya Kovalchuk, hockey,12217,Hugo Sánchez plays professionally in the sport of, soccer,11783
230,Peter Forsberg plays professionally in the sport of,Peter Forsberg, hockey,12217,Red Grange plays professionally in the sport of, football,4346
234,Warren Moon plays professionally in the sport of,Warren Moon, football,4346,Michael Bradley plays professionally in the sport of, soccer,11783
239,Ivan Hlinka plays professionally in the sport of,Ivan Hlinka, hockey,12217,Jürgen Locadia plays professionally in the sport of, soccer,11783
240,Jason Kidd plays professionally in the sport of,Jason Kidd, basketball,9669,Gary Carter plays professionally in the sport of, baseball,9283
245,Kobe Bryant plays professionally in the sport of,Kobe Bryant, basketball,9669,Jackie Robinson plays professionally in the sport of, baseball,9283
247,Clayton Kershaw plays professionally in the sport of,Clayton Kershaw, baseball,9283,Megan Rapinoe plays professionally in the sport of, soccer,11783
248,Dwyane Wade plays professionally in the sport of,Dwyane Wade, basketball,9669,Pavel Bure plays professionally in the sport of, hockey,12217
249,George Plimpton plays professionally in the sport of,George Plimpton, football,4346,Nigel de Jong plays professionally in the sport of, soccer,11783
255,Walter Payton plays professionally in the sport of,Walter Payton, football,4346,Warren Spahn plays professionally in the sport of, baseball,9283
258,Carmelo Anthony plays professionally in the sport of,Carmelo Anthony, basketball,9669,Yu Darvish plays professionally in the sport of, baseball,9283
262,Sidney Crosby plays professionally in the sport of,Sidney Crosby, hockey,12217,Siem de Jong plays professionally in the sport of, soccer,11783
264,Frank Mahovlich plays professionally in the sport of,Frank Mahovlich, hockey,12217,Luis Scola plays professionally in the sport of, basketball,9669
265,Marco Ureña plays professionally in the sport of,Marco Ureña, soccer,11783,Alex Karras plays professionally in the sport of, football,4346
266,Christian Bolaños plays professionally in the sport of,Christian Bolaños, soccer,11783,Carlos Beltrán plays professionally in the sport of, baseball,9283
267,Tony Dungy plays professionally in the sport of,Tony Dungy, football,4346,Robbie Rogers plays professionally in the sport of, soccer,11783
268,Ollie Matson plays professionally in the sport of,Ollie Matson, football,4346,Evgeni Malkin plays professionally in the sport of, hockey,12217
270,Len Ford plays professionally in the sport of,Len Ford, football,4346,David Andersen plays professionally in the sport of, basketball,9669
271,Colin Kaepernick plays professionally in the sport of,Colin Kaepernick, football,4346,Danny Ainge plays professionally in the sport of, baseball,9283
272,Gordie Howe plays professionally in the sport of,Gordie Howe, hockey,12217,John Olerud plays professionally in the sport of, baseball,9283
273,Joe Namath plays professionally in the sport of,Joe Namath, football,4346,Robbie Rogers plays professionally in the sport of, soccer,11783
276,Dan Marino plays professionally in the sport of,Dan Marino, football,4346,Bill Bradley plays professionally in the sport of, basketball,9669
290,Wayne Gretzky plays professionally in the sport of,Wayne Gretzky, hockey,12217,Guus Hiddink plays professionally in the sport of, soccer,11783
294,Frank Gifford plays professionally in the sport of,Frank Gifford, football,4346,Howie Morenz plays professionally in the sport of, hockey,12217
297,Viacheslav Fetisov plays professionally in the sport of,Viacheslav Fetisov, hockey,12217,Shaquille O'Neal plays professionally in the sport of, basketball,9669
300,Stephen Curry plays professionally in the sport of,Stephen Curry, basketball,9669,Cy Young plays professionally in the sport of, baseball,9283
302,Byron White plays professionally in the sport of,Byron White, football,4346,Chuck Connors plays professionally in the sport of, baseball,9283
307,Charles Barkley plays professionally in the sport of,Charles Barkley, basketball,9669,Jim Brown plays professionally in the sport of, football,4346
309,Jim Brown plays professionally in the sport of,Jim Brown, football,4346,Tony Parker plays professionally in the sport of, basketball,9669
313,Ernie Barnes plays professionally in the sport of,Ernie Barnes, football,4346,Eric Lindros plays professionally in the sport of, hockey,12217
314,Peyton Manning plays professionally in the sport of,Peyton Manning, football,4346,Claudio Reyna plays professionally in the sport of, soccer,11783
