Task_ID,clean,subject,object,correct_idx,corrupted,corrupted_object,incorrect_idx
394,Istanbul Airport is in the country of,Istanbul Airport, Turkey,7137,Hida Mountains is in the country of, Japan,2869
426,Toulouges is in the country of,Toulouges, France,4881,Campeche Bank is in the country of, Mexico,5828
442,Teatro Comunale Florence is in the country of,Teatro Comunale Florence, Italy,8031,Electoral district of Wantirna is in the country of, Australia,4505
450,Danish Sign Language is in the country of,Danish Sign Language, Denmark,16490,Perpignan is in the country of, France,4881
455,Eriksbergs Mekaniska Verkstad is in the country of,Eriksbergs Mekaniska Verkstad, Sweden,10710,Bukit Panjang Single Member Constituency is in the country of, Singapore,12551
462,Manyakheta is in the country of,Manyakheta, India,3794,Perpignan is in the country of, France,4881
463,Tsubaki Grand Shrine is in the country of,Tsubaki Grand Shrine, Japan,2869,Gobind Sagar is in the country of, India,3794
490,Sonitpur district is in the country of,Sonitpur district, India,3794,Melaka TMFC is in the country of, Malaysia,15336
507,Swedish Orphan Biovitrum is in the country of,Swedish Orphan Biovitrum, Sweden,10710,Santo Stefano d'Aveto is in the country of, Italy,8031
509,Zelenchukskaya is in the country of,Zelenchukskaya, Russia,3284,Band-e Kaisar is in the country of, Iran,4068
510,"Tsuno District, Yamaguchi is in the country of","Tsuno District, Yamaguchi", Japan,2869,AA Drink-leontien.nl is in the country of, Netherlands,12671
519,Addanki mandal is in the country of,Addanki mandal, India,3794,Tillya Tepe is in the country of, Afghanistan,8037
531,Thiruvattar is in the country of,Thiruvattar, India,3794,Garibaldi Ranges is in the country of, Canada,3340
551,Singarapettai is in the country of,Singarapettai, India,3794,Kanchanaburi is in the country of, Thailand,16952
562,Borghetto di Vara is in the country of,Borghetto di Vara, Italy,8031,"Croom, County Limerick is in the country of", Ireland,7517
589,Neighbourhoods in Kolkata is in the country of,Neighbourhoods in Kolkata, India,3794,Valea lui Mihai is in the country of, Romania,23356
596,Autonomous District Lok Sabha constituency is in the country of,Autonomous District Lok Sabha constituency, India,3794,Niederweningen is in the country of, Switzerland,14679
605,Staatliche Antikensammlungen is in the country of,Staatliche Antikensammlungen, Germany,4486,"All-Ukrainian Union ""Svoboda"" is in the country of", Ukraine,7049
610,2010 Belgian federal election is in the country of,2010 Belgian federal election, Belgium,15664,Ponoy River is in the country of, Russia,3284
615,"Croom, County Limerick is in the country of","Croom, County Limerick", Ireland,7517,Niederweningen is in the country of, Switzerland,14679
633,Periyar University is in the country of,Periyar University, India,3794,Toulouges is in the country of, France,4881
642,Panagarh is in the country of,Panagarh, India,3794,Public Broadcasting Services is in the country of, Malta,35206
643,Gobind Sagar is in the country of,Gobind Sagar, India,3794,Zwiefalten is in the country of, Germany,4486
653,Gurudwara Bangla Sahib is in the country of,Gurudwara Bangla Sahib, India,3794,Ayn Halaqim Subdistrict is in the country of, Syria,4392
678,"College of Engineering, Pune is in the country of","College of Engineering, Pune", India,3794,Lodhran Tehsil is in the country of, Pakistan,7648
696,Mannheim City Airport is in the country of,Mannheim City Airport, Germany,4486,Kamikita District is in the country of, Japan,2869
701,"Fukuno, Toyama is in the country of","Fukuno, Toyama", Japan,2869,La Mauricie National Park is in the country of, Canada,3340
702,Isfahan International Airport is in the country of,Isfahan International Airport, Iran,4068,Ust-Katav is in the country of, Russia,3284
718,Ichchapuram is in the country of,Ichchapuram, India,3794,Sarpsborg 08 FF is in the country of, Norway,15238
727,Ghatanji is in the country of,Ghatanji, India,3794,Fort Madalena is in the country of, Malta,35206
734,Fryderyk Chopin University of Music is in the country of,Fryderyk Chopin University of Music, Poland,12873,Gurudwara Bangla Sahib is in the country of, India,3794
745,Bad Wildungen is in the country of,Bad Wildungen, Germany,4486,Giurgiu County is in the country of, Romania,23356
746,Minamiakita District is in the country of,Minamiakita District, Japan,2869,Zwiefalten is in the country of, Germany,4486
759,Preet Vihar is in the country of,Preet Vihar, India,3794,Cairo American College is in the country of, Egypt,6365
777,"Halton County, Ontario is in the country of","Halton County, Ontario", Canada,3340,Trans-Sahara Highway is in the country of, Nigeria,19398
796,Grand Mosque of Paris is in the country of,Grand Mosque of Paris, France,4881,Pakpattan is in the country of, Pakistan,7648
802,Yamato Museum is in the country of,Yamato Museum, Japan,2869,Anak Bukit is in the country of, Malaysia,15336
814,University of Bern is in the country of,University of Bern, Switzerland,14679,Harnaut is in the country of, India,3794
826,Tatsuno is in the country of,Tatsuno, Japan,2869,Ledaal is in the country of, Norway,15238
